frame_idx,x,y,w,h,area,cx,cy
0,0,7,1675,966,382565,1220.3374067151988,596.6402938062813
1,0,6,1675,968,391672,1213.6827166608796,592.6096631875652
2,0,6,1675,969,391808,1214.6394637169226,592.1752006084613
3,0,6,1675,969,390234,1216.6998262580912,591.2664657615687
4,0,7,1675,967,390234,1217.1979273974077,591.3083021981682
5,0,7,1675,967,392422,1215.8353303331617,589.6024585777556
6,0,7,1675,967,393350,1214.8414694292615,588.1191737638236
7,0,6,1675,968,395933,1211.8055933705955,588.1318278597641
8,0,5,1676,970,393704,1213.2428042387173,588.3631255968951
9,0,6,1675,968,393290,1214.5581606448168,585.9747819675049
10,0,8,1675,965,392984,1216.070323473729,585.4592629725383
11,0,9,1675,965,395456,1215.2101902613692,586.5230493405081
12,0,9,1675,965,395117,1215.4418159684346,588.4689826051524
13,0,10,1675,963,393371,1216.3403250366703,590.6281398476248
14,0,8,1675,964,400775,1210.1139093007298,587.9431376707629
15,0,8,1675,964,394099,1215.1554406380124,590.4012392825153
16,0,8,1674,964,391457,1216.8934008077515,591.2050927688099
17,0,8,1674,965,391817,1216.3035575281317,591.2572680613654
18,0,7,1674,966,390407,1217.0900214391647,591.1645103699473
19,0,6,1675,968,399440,1210.6667083917484,588.6335820148207
20,0,6,1675,968,404839,1205.803894881669,587.086394838442
21,0,6,1675,968,407565,1202.9573515880902,585.6304344092354
22,0,6,1675,968,406925,1203.5976457578179,584.3780180622965
23,0,6,1675,968,403804,1205.8863532803043,584.6635075432636
24,0,6,1675,968,404276,1205.4226122747825,584.1869613828177
25,0,6,1675,968,401753,1207.2258178532581,584.8605859819342
26,0,5,1675,969,410660,1200.0447840062338,582.0984683192909
27,0,5,1675,968,409098,1201.5334736420125,582.4471838043696
28,0,5,1676,968,407051,1203.5140387813813,584.5788218183962
29,0,5,1676,968,404824,1205.4856480841056,586.6033906092524
